title,start_date,rating_count,rating_avg,animeId,animeIdx
Gekkan Shoujo Nozaki-kun Specials,2014-09-24,538,5.49,34,33
"Gate: Jieitai Kanochi nite, Kaku Tatakaeri 2nd Season",2016-01-09,546,5.63,35,34
"Doukyonin wa Hiza, Tokidoki, Atama no Ue.",2019-01-09,557,5.39,36,35
Digimon Adventure,1999-03-07,521,5.40,37,36
Byousoku 5 Centimeter,,548,5.46,38,37
Detective Conan OVA 10: Kid in Trap Island,,533,5.45,39,38
Bungou Stray Dogs: Dead Apple,,544,5.64,40,39
Asagao to Kase-san.,,552,5.62,41,40
Ansatsu Kyoushitsu 2nd Season: Kagaijugyou-hen,2016-03-11,548,5.43,42,41
Yaoguai Mingdan 2nd Season,2017-08-02,80,7.90,43,42
Uchuu Senkan Yamato 2202: Ai no Senshi-tachi,2017-02-25,264,9.18,44,43
Transformers the Movie,,328,8.48,45,44
Toshokan Sensou: Kakumei no Tsubasa,,16,6.00,46,45
Shokugeki no Souma: Shin no Sara,2019-10-12,616,7.97,47,46
Paradise Kiss,2005-10-14,122,6.69,48,47
Manga de Wakaru! Fate/Grand Order,,26,7.38,49,48
Lucky☆Star: Original na Visual to Animation,,94,7.83,50,49
Last Exile,2003-04-08,533,5.55,51,50
Koukaku Kidoutai 2: Innocence,,38,7.05,52,51
Heartcatch Precure!,2010-02-07,76,8.24,53,52
Hidamari Sketch x 365,2008-07-04,34,6.94,54,53
Ginga Tetsudou 999,1978-09-14,2,7.00,55,54
Gundam Build Fighters,2013-10-07,18,4.89,56,55
Ghost Hunt,2006-10-04,456,8.64,57,56
Gakuen Babysitters,2018-01-07,72,7.72,58,57
Detective Conan Movie 23: The Fist of Blue Sapphire,,248,7.41,59,58
Bleach,2004-10-05,318,7.96,60,59
Akagami no Shirayuki-hime,2015-07-07,110,8.00,61,60
91 Days,2016-07-09,36,6.44,62,61
Wolf's Rain,2003-01-07,78,6.79,63,62
Tentai Senshi Sunred,2008-10-03,80,8.30,64,63
Shingeki no Kyojin OVA,2013-12-09,26,7.85,65,64
Maria-sama ga Miteru 4th,2009-01-03,405,8.23,66,65
Kubikiri Cycle: Aoiro Savant to Zaregototsukai,2016-10-26,40,7.45,67,66
Kono Subarashii Sekai ni Shukufuku wo!: Kono Subarashii Choker ni Shukufuku wo!,,148,7.22,68,67
Karakai Jouzu no Takagi-san,2018-01-08,12,6.17,69,68
Junjou Romantica,2008-04-11,548,5.25,70,69
Fate/Grand Order: Zettai Majuu Sensen Babylonia,,324,7.10,71,70
Emiya-san Chi no Kyou no Gohan,2018-01-25,80,8.85,72,71
Charlotte,2015-07-05,168,8.38,73,72
Capeta,2005-10-04,184,8.22,74,73
Break Blade 5: Shisen no Hate,,33,7.42,75,74
Aggressive Retsuko (ONA) 2nd Season,,58,7.34,76,75
Yao Shen Ji 3rd Season,2018-10-01,76,8.26,77,76
Space☆Dandy,2014-01-05,541,5.47,78,77
Slayers Try,1997-04-04,258,6.98,79,78
Seikai no Senki II,2001-07-11,188,8.21,80,79
Mobile Suit Gundam Wing: Endless Waltz Movie,,88,8.55,81,80
Kyou kara Maou! 3rd Series,2008-04-03,120,8.60,82,81
Kokoro Connect,2012-07-08,8,5.75,83,82
Jungle wa Itsumo Hare nochi Guu Deluxe,2002-08-25,49,6.67,84,83
Hybrid Child,2014-10-29,160,7.92,85,84
Hakuouki Movie 2: Shikon Soukyuu,,56,5.68,86,85
Haikyuu!! Movie 1: Owari to Hajimari,,120,7.10,87,86
Gungrave,2003-10-07,26,6.85,88,87
Goku Sayonara Zetsubou Sensei,2008-10-17,26,7.23,89,88
Ginga Eiyuu Densetsu Gaiden (1999),1999-12-24,148,7.68,90,89
Douluo Dalu,2018-01-20,16,7.50,91,90
Code Geass: Hangyaku no Lelouch R2 Special Edition - Zero Requiem,,42,7.86,92,91
Yuru Yuri♪♪,2012-07-03,232,7.91,93,92
Sword Art Online: Alicization - War of Underworld,2019-10-13,90,6.22,94,93
Saint☆Oniisan (Movie),,68,7.76,95,94
Mobile Suit Gundam 0080: War in the Pocket,1989-03-25,52,8.00,96,95
Mahoujin Guruguru (2017),2017-07-11,164,7.73,97,96
Kara no Kyoukai 2: Satsujin Kousatsu (Zen),,84,7.57,98,97
Jungle wa Itsumo Hare nochi Guu,2001-04-03,36,7.56,99,98
Jormungand,2012-04-11,40,7.20,100,99
Higashi no Eden,2009-04-10,296,7.61,101,100
Hello World,,108,8.56,102,101
Gochuumon wa Usagi Desu ka??,2015-10-10,10,8.80,103,102
Giant Robo the Animation: Chikyuu ga Seishi Suru Hi,1992-07-23,52,8.12,104,103
Douluo Dalu 2nd Season,,12,5.67,105,104
Detective Conan Movie 12: Full Score of Fear,,129,8.35,106,105
Detective Conan Movie 09: Strategy Above the Depths,,14,6.71,107,106
City Hunter 3,1989-10-15,2,8.00,108,107
Break Blade 4: Sanka no Chi,,43,6.65,109,108
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e (TV),2017-07-12,14,8.00,110,109
Wotaku ni Koi wa Muzukashii: Youth,,2,6.00,111,110
The Everlasting Guilty Crown,,10,4.20,112,111
Tasogare Otome x Amnesia,2012-04-09,12,8.17,113,112
Saint Seiya,1986-10-11,549,5.58,114,113
Overlord II,2018-01-09,4,3.00,115,114
Neko no Ongaeshi,,4,6.50,116,115
Musekinin Kanchou Tylor,1993-01-25,12,8.83,117,116
Love Live! School Idol Project 2nd Season,2014-04-06,2,3.00,118,117
Little Witch Academia,,22,6.91,119,118
Kuroshitsuji,2008-10-03,668,8.21,120,119
InuYasha (TV),2000-10-16,809,9.04,121,120
Danshi Koukousei no Nichijou Specials,2012-04-03,177,8.85,122,121
Colorful (Movie),,326,8.04,123,122
Bishoujo Senshi Sailor Moon S,1994-03-19,22,4.18,124,123
Baby Steps,2014-04-06,10,5.00,125,124
Yuusha-Ou GaoGaiGar,1997-02-01,18,8.44,126,125
Vampire Hunter D (2000),,6,8.33,127,126
Top wo Nerae! Gunbuster,1988-10-07,6,8.67,128,127
Seitokai Yakuindomo Movie,,44,7.45,129,128
Maria-sama ga Miteru 3rd,2006-12-29,12,6.67,130,129
Magic Kaito,2010-04-17,4,7.00,131,130
Hoozuki no Reitetsu 2nd Season,2017-10-08,40,7.55,132,131
Hibike! Euphonium Movie 3: Chikai no Finale,,106,4.51,133,132
Hataraku Maou-sama!,2013-04-04,136,8.10,134,133
Haikyuu!! Movie 4: Concept no Tatakai,,156,8.59,135,134
Detective Conan Movie 08: Time Travel of the Silver Sky,,180,8.91,136,135
Detective Conan Movie 07: Crossroad in the Ancient Capital,,20,9.80,137,136
Yuru Yuri Nachuyachumi!,,12,8.67,138,137
Uchouten Kazoku,2013-07-07,20,7.80,139,138
Working'!!,2011-10-01,554,5.50,140,139
Tokyo Ghoul,2014-07-04,4,7.00,141,140
Seihou Bukyou Outlaw Star,1998-01-09,26,7.92,142,141
Saiyuuki Gaiden,2011-03-25,90,6.76,143,142
Planetarian: Hoshi no Hito,,14,7.43,144,143
Naruto,2002-10-03,126,7.35,145,144
Mobile Suit Gundam Thunderbolt: December Sky,,54,6.00,146,145
Magi: Sinbad no Bouken,2014-05-14,154,7.84,147,146
Ginga Eiyuu Densetsu: Waga Yuku wa Hoshi no Taikai,,12,6.83,148,147
Gake no Ue no Ponyo,,92,6.65,149,148
Fairy Tail,2009-10-12,496,8.12,150,149
Eikoku Koi Monogatari Emma: Molders-hen,2007-04-17,12,7.33,151,150
"Clannad: After Story - Mou Hitotsu no Sekai, Kyou-hen",,26,8.08,152,151
Zan Sayonara Zetsubou Sensei,2009-07-05,184,7.76,153,152
Akachan to Boku,1996-07-11,144,7.69,154,153
Seto no Hanayome OVA,2008-11-03,24,5.75,155,154
Saiyuuki Reload: Burial,2007-04-28,42,7.81,156,155
Ookami to Koushinryou II: Ookami to Kohakuiro no Yuuutsu,,40,5.95,157,156
Magic Kaito 1412,2014-10-04,50,8.44,158,157
Lupin III (2015),2015-10-02,16,5.62,159,158
Les Misérables: Shoujo Cosette,2007-01-07,557,5.27,160,159
Initial D Third Stage,,22,8.27,161,160
Hanasaku Iroha: Home Sweet Home,,10,8.20,162,161
Hoozuki no Reitetsu OVA,2015-02-23,2,9.00,163,162
Haikyuu!! Movie 3: Sainou to Sense,,368,8.77,164,163
Devilman: Crybaby,,88,8.27,165,164
Detective Conan Movie 01: The Timed Skyscraper,,50,6.80,166,165
Carnival Phantasm,2011-08-14,56,7.86,167,166
Sayonara Zetsubou Sensei,2007-07-08,28,8.36,168,167
Mobile Suit Gundam Thunderbolt,2015-12-25,96,6.29,169,168
Mahou Shoujo Lyrical Nanoha: The Movie 1st,,156,7.92,170,169
Macross F,2008-04-04,10,7.60,171,170
Kara no Kyoukai 4: Garan no Dou,,537,5.67,172,171
Kaleido Star: Legend of Phoenix - Layla Hamilton Monogatari,,28,7.50,173,172
Isekai no Seikishi Monogatari,2009-05-22,80,5.25,174,173
Coquelicot-zaka kara,,13,3.85,175,174
Xiao Lu He Xiao Lan,2018-08-27,10,6.20,176,175
Kuroko no Basket: Tip Off,,40,6.85,177,176
Hidamari Sketch x ☆☆☆,2010-01-08,6,8.33,178,177
Flanders no Inu (Movie),,2,6.00,179,178
Ergo Proxy,2006-02-25,32,7.12,180,179
Durarara!! Specials,2010-08-25,8,8.75,181,180
Detective Conan Movie 02: The Fourteenth Target,,176,8.09,182,181
Aoki Hagane no Arpeggio: Ars Nova Cadenza,,14,9.00,183,182
Touhai Densetsu Akagi: Yami ni Maiorita Tensai,2005-10-05,8,7.50,184,183
Terra e... (TV),2007-04-07,224,7.96,185,184
Tennis no Ouji-sama,2001-10-10,32,8.38,186,185
Sekaiichi Hatsukoi,2011-04-09,28,8.00,187,186
Seitokai Yakuindomo* OVA,2014-05-16,8,6.50,188,187
Kyoukai no Kanata Movie: I'll Be Here - Kako-hen - Yakusoku no Kizuna,,40,5.90,189,188
Junjou Romantica OVA,2012-12-20,14,4.14,190,189
Igano Kabamaru,1983-10-20,14,7.14,191,190
IDOLiSH7,2018-01-07,6,4.67,192,191
Hokuto no Ken,1984-10-04,62,6.77,193,192
High☆Speed!: Free! Starting Days,,14,7.86,194,193
Hidamari Sketch x Honeycomb,2012-10-05,96,7.94,195,194
Fairy Tail (2014),2014-04-05,54,5.89,196,195
There She Is!!,2003-04-20,8,5.75,197,196
Tanaka-kun wa Itsumo Kedaruge,2016-04-09,86,7.40,198,197
Tentai Senshi Sunred 2nd Season,2009-10-03,624,9.08,199,198
Sakigake!! Cromartie Koukou,2003-10-03,34,8.59,200,199
Mobile Suit Zeta Gundam,1985-03-02,26,8.15,201,200
Junjou Romantica 3,2015-07-09,356,8.33,202,201
Bishoujo Senshi Sailor Moon: Sailor Stars,1996-03-09,20,6.40,203,202
Yume-iro Pâtissière,2009-10-04,24,6.00,204,203
Soul Eater,2008-04-07,860,8.63,205,204
Shirokuma Cafe,2012-04-05,10,6.20,206,205
School Rumble,2004-10-05,42,7.33,207,206
Non Non Biyori,2013-10-08,38,7.58,208,207
Lupin III vs. Detective Conan: The Movie,,44,6.91,209,208
Kekkai Sensen & Beyond,2017-10-08,160,8.10,210,209
Jormungand: Perfect Order,2012-10-10,12,9.33,211,210
Hanasaku Iroha,2011-04-03,14,6.71,212,211
Ginga Eiyuu Densetsu: Die Neue These - Seiran 2,,4,7.00,213,212
Ginga Eiyuu Densetsu Gaiden,1998-02-09,528,5.55,214,213
Date A Live II: Kurumi Star Festival,,2,9.00,215,214
City Hunter,1987-04-06,546,5.78,216,215
Boku no Hero Academia the Movie 2: Heroes:Rising,,12,7.33,217,216
Beelzebub,2011-01-09,38,7.84,218,217
Yakitate!! Japan,2004-10-12,20,5.20,219,218
Tong Ling Fei,2018-11-30,4,5.00,220,219
xxxHOLiC Movie: Manatsu no Yoru no Yume,,36,5.56,221,220
Tiger & Bunny,2011-04-03,533,5.38,222,221
Shijou Saikyou no Deshi Kenichi OVA,2012-03-14,232,8.14,223,222
Plastic Memories,2015-04-05,558,5.52,224,223
Mini Toji: Yume,,76,5.95,225,224
Macross F Movie 2: Sayonara no Tsubasa,,1096,7.22,226,225
Macross,1982-10-03,1056,7.88,227,226
Lupin III: Part 5,2018-04-04,158,7.91,228,227
Haibane Renmei,2002-10-10,28,8.36,229,228
Jigoku Shoujo Futakomori,2006-10-07,28,5.21,230,229
ef: A Tale of Memories.,2007-10-07,8,5.00,231,230
Cardcaptor Sakura: Clear Card-hen Prologue - Sakura to Futatsu no Kuma,,80,8.50,232,231
Berserk: Ougon Jidai-hen II - Doldrey Kouryaku,,24,8.67,233,232
Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou 2 - Tamashii,,8,5.25,234,233
Yuru Yuri San☆Hai!,2015-10-06,268,8.91,235,234
Yagate Kimi ni Naru,2018-10-05,10,7.00,236,235
Ushio to Tora (TV) 2nd Season,2016-04-01,565,8.56,237,236
Takarajima,1978-10-08,30,6.00,238,237
Sekaiichi Hatsukoi: Valentine-hen,,396,8.77,239,238
Saiunkoku Monogatari,2006-04-08,40,8.05,240,239
Ookiku Furikabutte,2007-04-13,60,5.83,241,240
One Piece: Episode of East Blue - Luffy to 4-nin no Nakama no Daibouken,,40,7.25,242,241
One Piece 3D2Y: Ace no shi wo Koete! Luffy Nakama Tono Chikai,,84,7.64,243,242
Mawaru Penguindrum,2011-07-08,6,6.00,244,243
Megalo Box,2018-04-06,464,9.04,245,244
Kuuchuu Buranko,2009-10-15,22,8.09,246,245
Kaleido Star,2003-04-03,14,6.71,247,246
Ie Naki Ko Remy,1996-09-01,56,6.25,248,247
Grisaia no Meikyuu: Caprice no Mayu 0,,496,7.95,249,248
Gintama: Dai Hanseikai,,20,8.70,250,249
Drifters,2016-10-07,136,8.62,251,250
Full Metal Panic! The Second Raid,2005-07-14,30,7.07,252,251
Detective Conan OVA 09: The Stranger in 10 Years...,,28,7.86,253,252
Fuichin-san,,5,8.20,254,253
Aria The Avvenire,,12,8.00,255,254
Yuri!!! on Ice: Yuri Plisetsky GPF in Barcelona EX - Welcome to The Madness,,40,7.05,256,255
Trigun: Badlands Rumble,,60,4.80,257,256
Tennis no Ouji-sama: Zenkoku Taikai-hen - Semifinal,2007-06-22,14,6.57,258,257
Tennis no Ouji-sama: Zenkoku Taikai-hen,2006-03-24,2,7.00,259,258
SKET Dance: Imouto no Nayami ni Nayamu Ani ni Nayamu Imouto to Sono Nakama-tachi,,8,6.75,260,259
Serial Experiments Lain,1998-07-06,544,5.51,261,260
Nekomonogatari: Kuro,,10,6.40,262,261
Macross: Do You Remember Love?,,519,9.22,263,262
Luo Xiao Hei Zhan Ji (Movie),,32,8.50,264,263
Karigurashi no Arrietty,,28,9.00,265,264
Kami nomi zo Shiru Sekai II,2011-04-12,8,6.75,266,265
Hibike! Euphonium,2015-04-08,232,8.16,267,266
Darker than Black: Kuro no Keiyakusha Gaiden,2010-01-27,278,8.57,268,267
Eyeshield 21,2005-04-06,1565,7.48,269,268
Azumanga Daioh,2002-04-09,150,6.95,270,269
Usagi Drop Specials,2011-10-28,9,5.67,271,270
Tekkon Kinkreet,,84,7.17,272,271
Ore Monogatari!!,2015-04-09,14,7.00,273,272
Noragami Aragoto OVA,2015-11-17,26,6.85,274,273
Mobile Suit Gundam: Iron-Blooded Orphans,2015-10-04,22,4.64,275,274
Little Witch Academia (TV),2017-01-09,30,8.00,276,275
Kurenai no Buta,,20,7.20,277,276
Kobato.,2009-10-06,2,7.00,278,277
Hyouge Mono,2011-04-07,22,7.64,279,278
Hikaru no Go: Hokuto Hai e no Michi,,516,5.62,280,279
High Score Girl,2018-07-14,22,5.00,281,280
Full Moon wo Sagashite,2002-04-06,10,7.40,282,281
Wotaku ni Koi wa Muzukashii,2018-04-13,20,9.40,283,282
Mahou Shoujo Lyrical Nanoha A's,2005-10-02,12,7.17,284,283
Magi: Sinbad no Bouken (TV),2016-04-16,24,7.00,285,284
Kimi to Boku. 2,2012-04-03,8,8.00,286,285
Higurashi no Naku Koro ni,2006-04-05,26,8.23,287,286
Kamisama Hajimemashita OVA,,24,7.67,288,287
Hanamonogatari,,8,7.00,289,288
Golden Boy,1995-10-27,90,7.00,290,289
Rurouni Kenshin: Meiji Kenkaku Romantan - Seisou-hen,,18,6.44,291,290
Overlord,2015-07-07,12,7.83,292,291
Love Live! The School Idol Movie,,12,8.17,293,292
Log Horizon,2013-10-05,16,5.12,294,293
Junjou Romantica 2,2008-10-12,6,7.67,295,294
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen,2019-10-03,12,7.17,296,295
Free!: Eternal Summer - Kindan no All Hard!,,26,6.15,297,296
Carole & Tuesday,2019-04-11,44,6.27,298,297
Zetsuen no Tempest,2012-10-05,20,6.10,299,298
Tamako Love Story,,22,7.82,300,299
Omae Umasou da na,,4,7.50,301,300
Phantom: Requiem for the Phantom,2009-04-03,36,9.11,302,301
Nurarihyon no Mago: Sennen Makyou,2011-07-03,10,7.20,303,302
Kara no Kyoukai: Mirai Fukuin,,26,8.46,304,303
Kanon (2006),2006-10-06,4,5.50,305,304
Girls & Panzer: Saishuushou Part 1,,48,7.42,306,305
Gintama: Nanigoto mo Saiyo ga Kanjin nano de Tasho Senobisuru Kurai ga Choudoyoi,,529,5.38,307,306
Ginga Eiyuu Densetsu: Arata Naru Tatakai no Overture,,548,5.42,308,307
FLCL,2000-04-26,2,7.00,309,308
Code Geass: Hangyaku no Lelouch I - Koudou,,532,5.47,310,309
"Clannad: Mou Hitotsu no Sekai, Tomoyo-hen",,14,6.86,311,310
Aria The OVA: Arietta,,519,5.33,312,311
Aria The Origination: Sono Choppiri Himitsu no Basho ni...,,2,9.00,313,312
Yuri!!! on Ice,2016-10-06,535,5.58,314,313
Wolf's Rain OVA,2004-01-23,6,6.00,315,314
Sekaiichi Hatsukoi OVA,2011-03-22,12,5.00,316,315
Quanzhi Gaoshou,2017-04-07,212,7.23,317,316
One Piece Film: Gold,,10,8.20,318,317
Koukaku Kidoutai: Stand Alone Complex 2nd GIG - Individual Eleven,,16,4.75,319,318
Durarara!!x2 Ten,2015-07-04,108,6.22,320,319
Boku no Hero Academia the Movie 1: Futari no Hero,,14,5.29,321,320
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. Movie,,244,8.08,322,321
Touch,1985-03-24,174,7.86,323,322
Tennis no Ouji-sama: Zenkoku Taikai-hen - Final,2008-04-25,16,8.00,324,323
Sekaiichi Hatsukoi Movie: Yokozawa Takafumi no Baai,,40,5.55,325,324
School Rumble Ni Gakki,2006-04-03,44,6.95,326,325
Saenai Heroine no Sodatekata Fine,,16,7.88,327,326
One Piece Film: Strong World Episode 0,,26,6.46,328,327
Mobile Suit Gundam: The Origin - Advent of the Red Comet,2019-04-29,328,8.61,329,328
Mobile Suit Gundam: The 08th MS Team,1996-01-25,110,7.71,330,329
Major Movie: Yuujou no Winning Shot,,6,9.33,331,330
Kokoro Connect: Michi Random,2012-11-19,2,6.00,332,331
Kindaichi Shounen no Jikenbo,1997-04-07,4,9.00,333,332
Kimi ni Todoke 2nd Season,2011-01-12,62,7.74,334,333
IDOLiSH7 Vibrato,2018-02-17,16,6.25,335,334
Gekkan Shoujo Nozaki-kun,2014-07-07,8,7.00,336,335
Durarara!!x2 Shou,2015-01-10,8,4.75,337,336
ef: A Tale of Melodies.,2008-10-07,141,8.81,338,337
Working!!!,2015-07-05,800,7.90,339,338
Paprika,,20,7.80,340,339
Overlord III,2018-07-10,36,7.72,341,340
Ookiku Furikabutte: Natsu no Taikai-hen,2010-04-02,16,6.25,342,341
Maison Ikkoku,1986-03-26,50,7.04,343,342
Kokoro ga Sakebitagatterunda.,,8,8.25,344,343
Kimi ni Todoke,2009-10-07,48,8.25,345,344
Hanada Shounen-shi,2002-10-02,6,6.67,346,345
Fullmetal Alchemist: Brotherhood Specials,2009-08-26,2,7.00,347,346
Akagami no Shirayuki-hime 2nd Season,2016-01-12,24,7.42,348,347
Yahari Ore no Seishun Love Comedy wa Machigatteiru.,2013-04-05,546,5.69,349,348
Youjo Senki,2017-01-06,20,8.80,350,349
Toaru Kagaku no Railgun S,2013-04-12,2,8.00,351,350
Tate no Yuusha no Nariagari,2019-01-09,2,7.00,352,351
Tanoshii Muumin Ikka,1990-04-12,4,10.00,353,352
Slayers Next,1996-04-05,12,3.50,354,353
Saint Seiya: The Lost Canvas - Meiou Shinwa,2009-06-24,557,5.50,355,354
ReLIFE,2016-07-02,364,7.07,356,355
Osomatsu-san,2015-10-06,118,5.64,357,356
Noragami,2014-01-05,20,7.60,358,357
Kyou kara Ore wa!!,1992-12-11,2,7.00,359,358
Kingdom,2012-06-04,6,4.67,360,359
Juuni Kokuki,2002-04-09,6,4.00,361,360
Detective Conan Movie 15: Quarter of Silence,,560,5.49,362,361
Black Lagoon,2006-04-09,523,5.37,363,362
Stand By Me Doraemon,,6,9.67,364,363
Sakasama no Patema,,12,5.83,365,364
Kamisama Hajimemashita,2012-10-02,25,5.72,366,365
Hachimitsu to Clover,2005-04-15,513,5.44,367,366
Ginga Nagareboshi Gin,1986-04-07,100,7.68,368,367
Eve no Jikan (Movie),,50,7.68,369,368
Detective Conan Movie 04: Captured in Her Eyes,,10,5.40,370,369
Black Lagoon: Roberta's Blood Trail,2010-06-27,14,7.00,371,370
Detective Conan Movie 03: The Last Wizard of the Century,,24,9.00,372,371
Tokyo Magnitude 8.0,2009-07-10,4,8.00,373,372
Qiang Shen Ji,2017-12-08,8,5.25,374,373
Kodomo no Omocha (TV),1996-04-05,4,8.00,375,374
Kara no Kyoukai 3: Tsuukaku Zanryuu,,24,7.00,376,375
Full Metal Panic? Fumoffu,2003-08-26,8,6.75,377,376
Dragon Ball,1986-02-26,2,4.00,378,377
Dennou Coil,2007-05-12,72,7.22,379,378
D.Gray-man,2006-10-03,10,7.40,380,379
City Hunter 2,1988-04-02,4,10.00,381,380
Baby Steps 2nd Season,2015-04-05,8,5.00,382,381
xxxHOLiC Shunmuki,2009-02-17,20,7.10,383,382
Tsumiki no Ie,,254,6.01,384,383
Tamayura: Sotsugyou Shashin Part 4 - Ashita,,40,6.30,385,384
Saiunkoku Monogatari 2nd Season,2007-04-07,10,7.80,386,385
Mirai Shounen Conan,1978-04-04,456,8.17,387,386
Lovely★Complex,2007-04-07,32,8.62,388,387
Koukyoushihen Eureka Seven,2005-04-17,43,7.65,389,388
Kono Subarashii Sekai ni Shukufuku wo! 2: Kono Subarashii Geijutsu ni Shukufuku wo!,,40,6.30,390,389
Kobayashi-san Chi no Maid Dragon,2017-01-12,14,7.57,391,390
Ginga Eiyuu Densetsu: Die Neue These - Seiran 3,,460,8.74,392,391
Eve no Jikan,2008-08-01,24,6.75,393,392
Evangelion: 1.0 You Are (Not) Alone,,20,7.60,394,393
Akatsuki no Yona,2014-10-07,84,6.17,395,394
Sekaiichi Hatsukoi 2,2011-10-08,16,6.00,396,395
Initial D Fifth Stage,2012-11-04,12,8.67,397,396
Glass no Kamen (2005),2005-04-06,8,5.00,398,397
Gintama': Futon ni Haitte kara Buki Nokoshi ni Kizuite Neru ni Nerenai Toki mo Aru,,537,5.43,399,398
Gin no Saji,2013-07-12,184,8.24,400,399
Detective Conan Movie 20: The Darkest Nightmare,,100,6.12,401,400
Akatsuki no Yona OVA,2015-09-18,546,5.47,402,401
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku OVA,,12,5.67,403,402
Tensei shitara Slime Datta Ken,2018-10-02,14,6.86,404,403
Saint Seiya: Meiou Hades Juuni Kyuu-hen,2002-11-09,46,6.26,405,404
Nanatsu no Taizai,2014-10-05,6,6.67,406,405
Kokoroya,,40,7.00,407,406
Mobile Suit Gundam 00 Second Season,2008-10-05,28,6.86,408,407
Koukaku Kidoutai: Stand Alone Complex - The Laughing Man,,548,5.46,409,408
"Kamisama Hajimemashita: Kamisama, Shiawase ni Naru",,572,5.49,410,409
K-On!!,2010-04-07,52,7.73,411,410
Hyouka,2012-04-23,32,5.81,412,411
Kaichou wa Maid-sama!,2010-04-02,372,3.29,413,412
Hikaru no Go,2001-10-10,535,5.37,414,413
Hidamari Sketch: Sae Hiro Sotsugyou-hen,,24,7.17,415,414
Detective Conan Movie 05: Countdown to Heaven,,116,8.55,416,415
Code Geass: Hangyaku no Lelouch III - Oudou,,36,5.89,417,416
Code Geass: Fukkatsu no Lelouch,,4,2.50,418,417
Yowamushi Pedal: Grande Road,2014-10-07,40,5.65,419,418
Summer Wars,,16,6.38,420,419
Saint Seiya: The Lost Canvas - Meiou Shinwa 2,2011-02-23,2,9.00,421,420
Princess Tutu,2002-08-16,542,5.54,422,421
One Piece: Episode of Nami - Koukaishi no Namida to Nakama no Kizuna,,540,5.31,423,422
Magi: The Labyrinth of Magic,2012-10-07,8,6.75,424,423
Made in Abyss Movie 1: Tabidachi no Yoake,,2,10.00,425,424
Kill la Kill,2013-10-04,14,4.71,426,425
Kami nomi zo Shiru Sekai: Megami-hen,2013-07-09,80,9.30,427,426
Kuroko no Basket: Saikou no Present Desu,,4,4.00,428,427
Kaiba,2008-04-11,8,8.00,429,428
Interstella5555: The 5tory of The 5ecret 5tar 5ystem,,82,6.88,430,429
Initial D Second Stage,1999-10-15,424,8.20,431,430
Hajime no Ippo: Boxer no Kobushi,,18,8.11,432,431
Gosick,2011-01-08,76,8.11,433,432
Golden Kamuy 2nd Season,2018-10-08,8,5.25,434,433
Durarara!!x2 Ketsu,2016-01-09,34,7.59,435,434
Detective Conan Movie 14: The Lost Ship in the Sky,,536,5.38,436,435
